"Plot Title: baddeck"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10536701, SEN S/N: 10536701)","Temp, °C (LGR S/N: 10536701, SEN S/N: 10536701)","Sensor Depth, meters (LGR S/N: 10536701)"
295,11/06/14 11:11:37  AM,116.193,10.651,1.438
296,11/06/14 11:26:37  AM,116.151,10.651,1.435
297,11/06/14 11:41:37  AM,115.994,10.651,1.419
298,11/06/14 11:56:37  AM,115.809,10.748,1.402
299,11/06/14 12:11:37  PM,115.840,10.748,1.407
300,11/06/14 12:26:37  PM,115.725,10.748,1.397
301,11/06/14 12:41:37  PM,115.683,10.748,1.394
302,11/06/14 12:56:37  PM,115.546,10.748,1.380
303,11/06/14 01:11:37  PM,115.504,10.748,1.376
304,11/06/14 01:26:37  PM,115.378,10.748,1.364
305,11/06/14 01:41:37  PM,115.378,10.748,1.364
306,11/06/14 01:56:37  PM,115.340,10.846,1.359
307,11/06/14 02:11:37  PM,115.382,10.846,1.362
308,11/06/14 02:26:37  PM,115.214,10.846,1.345
309,11/06/14 02:41:37  PM,115.246,10.846,1.348
310,11/06/14 02:56:37  PM,115.256,10.846,1.350
311,11/06/14 03:11:37  PM,115.246,10.846,1.350
312,11/06/14 03:26:37  PM,115.193,10.846,1.346
313,11/06/14 03:41:37  PM,115.119,10.846,1.338
314,11/06/14 03:56:37  PM,115.088,10.846,1.337
315,11/06/14 04:11:37  PM,114.941,10.846,1.325
316,11/06/14 04:26:37  PM,114.920,10.846,1.324
317,11/06/14 04:41:37  PM,114.920,10.846,1.323
318,11/06/14 04:56:37  PM,114.930,10.846,1.321
319,11/06/14 05:11:37  PM,114.926,10.748,1.319
320,11/06/14 05:26:37  PM,115.027,10.651,1.331
321,11/06/14 05:41:37  PM,115.115,10.748,1.339
322,11/06/14 05:56:37  PM,115.241,10.748,1.350
323,11/06/14 06:11:37  PM,115.210,10.748,1.348
324,11/06/14 06:26:37  PM,115.178,10.748,1.348
325,11/06/14 06:41:37  PM,115.210,10.748,1.353
326,11/06/14 06:56:37  PM,115.315,10.748,1.363
327,11/06/14 07:11:37  PM,115.399,10.748,1.372
328,11/06/14 07:26:37  PM,115.651,10.748,1.399
329,11/06/14 07:41:37  PM,115.662,10.748,1.400
330,11/06/14 07:56:37  PM,115.672,10.748,1.401
331,11/06/14 08:11:37  PM,115.725,10.748,1.410
332,11/06/14 08:26:37  PM,115.662,10.748,1.405
333,11/06/14 08:41:37  PM,115.662,10.748,1.407
