* ID=Minilog-T
* Serial Number=4157
* Study ID=Jay MacDonald
* Start Time=2012-03-12 15:01:26
* Finish Time=2012-08-23 13:01:26
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2012-04-02,21:01:26,19.07
2012-04-02,22:01:26,19.07
2012-04-02,23:01:26,18.91
2012-04-03,00:01:26,18.76
2012-04-03,01:01:26,18.60
2012-04-03,02:01:26,18.60
2012-04-03,03:01:26,18.45
2012-04-03,04:01:26,18.29
2012-04-03,05:01:26,18.14
2012-04-03,06:01:26,18.14
2012-04-03,07:01:26,17.99
2012-04-03,08:01:26,17.99
2012-04-03,09:01:26,18.14
2012-04-03,10:01:26,18.29
2012-04-03,11:01:26,18.45
2012-04-03,12:01:26,18.60
2012-04-03,13:01:26,18.60
2012-04-03,14:01:26,18.76
2012-04-03,15:01:26,18.76
2012-04-03,16:01:26,18.76
2012-04-03,17:01:26,18.91
2012-04-03,18:01:26,18.91
2012-04-03,19:01:26,18.76
2012-04-03,20:01:26,18.76
2012-04-03,21:01:26,18.60
2012-04-03,22:01:26,18.60
2012-04-03,23:01:26,18.45
2012-04-04,00:01:26,18.29
2012-04-04,01:01:26,18.14
2012-04-04,02:01:26,18.14
2012-04-04,03:01:26,18.14
2012-04-04,04:01:26,18.14
2012-04-04,05:01:26,17.99
2012-04-04,06:01:26,17.99
2012-04-04,07:01:26,17.99
2012-04-04,08:01:26,17.99
2012-04-04,09:01:26,17.99
2012-04-04,10:01:26,18.29
2012-04-04,11:01:26,18.45
2012-04-04,12:01:26,18.60
2012-04-04,13:01:26,18.76
2012-04-04,14:01:26,18.76
2012-04-04,15:01:26,18.76
2012-04-04,16:01:26,18.91
2012-04-04,17:01:26,18.91
2012-04-04,18:01:26,19.07
2012-04-04,19:01:26,18.91
2012-04-04,20:01:26,18.91
2012-04-04,21:01:26,18.91
2012-04-04,22:01:26,18.76
2012-04-04,23:01:26,18.76
2012-04-05,00:01:26,18.60
2012-04-05,01:01:26,18.60
2012-04-05,02:01:26,18.45
2012-04-05,03:01:26,18.45
2012-04-05,04:01:26,18.45
2012-04-05,05:01:26,18.45
2012-04-05,06:01:26,18.45
2012-04-05,07:01:26,18.45
2012-04-05,08:01:26,18.29
2012-04-05,09:01:26,18.45
2012-04-05,10:01:26,18.91
2012-04-05,11:01:26,19.38
2012-04-05,12:01:26,19.85
2012-04-05,13:01:26,20.01
2012-04-05,14:01:26,20.32
2012-04-05,15:01:26,20.48
2012-04-05,16:01:26,20.64
2012-04-05,17:01:26,20.64
2012-04-05,18:01:26,20.64
2012-04-05,19:01:26,20.48
2012-04-05,20:01:26,20.32
2012-04-05,21:01:26,20.32
2012-04-05,22:01:26,20.17
2012-04-05,23:01:26,20.01
2012-04-06,00:01:26,19.85
2012-04-06,01:01:26,19.69
2012-04-06,02:01:26,19.54
2012-04-06,03:01:26,19.54
2012-04-06,04:01:26,19.38
2012-04-06,05:01:26,19.38
2012-04-06,06:01:26,19.23
2012-04-06,07:01:26,19.23
2012-04-06,08:01:26,19.07
2012-04-06,09:01:26,19.38
2012-04-06,10:01:26,19.54
2012-04-06,11:01:26,19.85
2012-04-06,12:01:26,20.01
2012-04-06,13:01:26,20.17
2012-04-06,14:01:26,20.32
2012-04-06,15:01:26,20.32
2012-04-06,16:01:26,20.48
2012-04-06,17:01:26,20.48
2012-04-06,18:01:26,20.48
2012-04-06,19:01:26,20.64
2012-04-06,20:01:26,20.48
2012-04-06,21:01:26,20.48
2012-04-06,22:01:26,20.32
2012-04-06,23:01:26,20.01
2012-04-07,00:01:26,19.85
2012-04-07,01:01:26,19.85
2012-04-07,02:01:26,19.54
2012-04-07,03:01:26,19.38
2012-04-07,04:01:26,19.38
2012-04-07,05:01:26,19.23
2012-04-07,06:01:26,19.07
2012-04-07,07:01:26,19.07
2012-04-07,08:01:26,18.91
2012-04-07,09:01:26,19.07
2012-04-07,10:01:26,19.07
2012-04-07,11:01:26,19.23
2012-04-07,12:01:26,19.38
2012-04-07,13:01:26,19.54
2012-04-07,14:01:26,19.69
2012-04-07,15:01:26,19.85
2012-04-07,16:01:26,19.85
2012-04-07,17:01:26,19.85
2012-04-07,18:01:26,19.85
2012-04-07,19:01:26,19.85
2012-04-07,20:01:26,19.85
2012-04-07,21:01:26,19.69
2012-04-07,22:01:26,19.54
2012-04-07,23:01:26,19.38
2012-04-08,00:01:26,19.23
2012-04-08,01:01:26,19.23
2012-04-08,02:01:26,19.07
2012-04-08,03:01:26,19.07
2012-04-08,04:01:26,19.07
2012-04-08,05:01:26,18.91
2012-04-08,06:01:26,18.76
2012-04-08,07:01:26,18.76
2012-04-08,08:01:26,18.76
2012-04-08,09:01:26,18.76
2012-04-08,10:01:26,18.76
2012-04-08,11:01:26,18.76
2012-04-08,12:01:26,18.91
2012-04-08,13:01:26,19.07
2012-04-08,14:01:26,19.23
2012-04-08,15:01:26,19.23
2012-04-08,16:01:26,19.38
2012-04-08,17:01:26,19.38
2012-04-08,18:01:26,19.38
2012-04-08,19:01:26,19.54
2012-04-08,20:01:26,19.38
2012-04-08,21:01:26,19.23
2012-04-08,22:01:26,19.23
2012-04-08,23:01:26,19.07
2012-04-09,00:01:26,18.91
2012-04-09,01:01:26,18.91
2012-04-09,02:01:26,18.76
2012-04-09,03:01:26,18.76
2012-04-09,04:01:26,18.76
2012-04-09,05:01:26,18.76
2012-04-09,06:01:26,18.76
2012-04-09,07:01:26,18.60
2012-04-09,08:01:26,18.60
2012-04-09,09:01:26,18.60
2012-04-09,10:01:26,18.76
2012-04-09,11:01:26,18.76
2012-04-09,12:01:26,18.91
2012-04-09,13:01:26,19.07
2012-04-09,14:01:26,19.07
2012-04-09,15:01:26,19.07
2012-04-09,16:01:26,19.07
2012-04-09,17:01:26,19.07
2012-04-09,18:01:26,19.23
2012-04-09,19:01:26,19.23
2012-04-09,20:01:26,19.23
2012-04-09,21:01:26,19.23
2012-04-09,22:01:26,19.23
2012-04-09,23:01:26,19.23
2012-04-10,00:01:26,19.23
2012-04-10,01:01:26,19.23
2012-04-10,02:01:26,19.07
2012-04-10,03:01:26,19.07
2012-04-10,04:01:26,19.07
2012-04-10,05:01:26,19.07
2012-04-10,06:01:26,19.07
2012-04-10,07:01:26,19.07
2012-04-10,08:01:26,19.07
2012-04-10,09:01:26,19.23
2012-04-10,10:01:26,19.69
2012-04-10,11:01:26,20.01
2012-04-10,12:01:26,21.44
2012-04-10,13:01:26,21.44
2012-04-10,14:01:26,21.44
2012-04-10,15:01:26,21.60
2012-04-10,16:01:26,21.76
2012-04-10,17:01:26,21.76
2012-04-10,18:01:26,21.76
2012-04-10,19:01:26,21.60
2012-04-10,20:01:26,21.44
2012-04-10,21:01:26,21.12
2012-04-10,22:01:26,20.80
2012-04-10,23:01:26,20.64
2012-04-11,00:01:26,20.32
2012-04-11,01:01:26,20.01
2012-04-11,02:01:26,19.85
2012-04-11,03:01:26,19.69
2012-04-11,04:01:26,19.54
2012-04-11,05:01:26,19.38
2012-04-11,06:01:26,19.38
2012-04-11,07:01:26,19.38
2012-04-11,08:01:26,19.23
2012-04-11,09:01:26,19.85
2012-04-11,10:01:26,16.91
2012-04-11,11:01:26,16.76
2012-04-11,12:01:26,17.52
2012-04-11,13:01:26,18.45
2012-04-11,14:01:26,18.60
2012-04-11,15:01:26,18.14
2012-04-11,16:01:26,18.29
2012-04-11,17:01:26,18.29
2012-04-11,18:01:26,18.76
2012-04-11,19:01:26,18.14
2012-04-11,20:01:26,16.76
2012-04-11,21:01:26,15.85
2012-04-11,22:01:26,14.50
2012-04-11,23:01:26,13.01
2012-04-12,00:01:26,11.53
2012-04-12,01:01:26,10.20
